Company_name,website,location
Sustonable,https://www.sustonable.com/,"Paiporta Spain (HQ), Paiporta Spain, Woerden Netherlands, Polatlı Turkey"
E-magy,http://e-magy.com/,Broek op Langedijk Netherlands (HQ)
SpotX,https://www.spotx.tv/,"London United Kingdom (HQ), Amsterdam Netherlands"
Paper surprise BV,https://papersurprise.com/,Rotterdam Netherlands (HQ)
Gauris,https://www.gauris.eu/,Heerenveen Netherlands (HQ)
SignRequest,https://signrequest.com/,Amsterdam Netherlands (HQ)
Kamernet,http://kamernet.nl/,The Hague Netherlands (HQ)
HousingAnywhere,https://housinganywhere.com/,Rotterdam Netherlands (HQ)
Expereo,http://www.expereo.com/,Amsterdam Netherlands (HQ)
Databricks,http://databricks.com/,"San Francisco United States (HQ), Berkeley United States, Amsterdam Netherlands, London United Kingdom"
UiPath,http://uipath.com/,"Bucharest Romania (HQ & founding location), England United Kingdom, Amsterdam Netherlands, New York United States"
Eurekite,http://www.eurekite.com/,Enschede Netherlands (HQ)
Renoon,https://renoon.com/,Amsterdam Netherlands (HQ)
Stellantis,https://www.stellantis.com/,"Lijnden Netherlands (HQ & founding location), Saint-Ouen France"
Husense B.V.,https://husense.net/,Den Haag Netherlands (HQ)
Lalaland,https://lalaland.ai/,"Amsterdam Netherlands (HQ), Utrecht Netherlands (founding location)"
BAQME,http://baqme.com/,Amsterdam Netherlands (HQ)
Quest Photonic Devices B.V.,http://quest-innovations.com/,Middenmeer Netherlands (HQ)
Cheflix,https://www.cheflix.com/,Amsterdam Netherlands (HQ)
Bloomreach,http://bloomreach.com/,"Mountain View United States (HQ), Amsterdam Netherlands"
Factris,https://www.factris.com/en/,"Amsterdam Netherlands (HQ), Wognum Netherlands, Amsterdam Netherlands, Riga Latvia, Vilnius Lithuania"
PHOTON ENERGY,http://en.photonenergy.com/,Amsterdam Netherlands (HQ)
Cards PLM Solutions,https://cardsplmsolutions.com/,Best Netherlands (HQ)
Revue,http://www.getrevue.co/,Utrecht Netherlands (HQ)
SkillLab,https://skilllab.io/,Amsterdam Netherlands (HQ)
TripActions,http://tripactions.com/,"Palo Alto United States (HQ), San Francisco United States, Dallas United States, New York United States, London United Kingdom, Amsterdam Netherlands, Pyrmont Australia"
DeNoize,https://www.denoize.com/,Delft Netherlands (HQ)
Creative Fabrica,https://www.creativefabrica.com/,Amsterdam Netherlands (HQ)
JOHAN Sports,http://www.johan-sports.com/,"Hoofddorp Netherlands (HQ), Hoofddorp Netherlands"
Outstanding24.com,https://outstanding24.com/,Breda Netherlands (HQ)
Ironhack,https://www.ironhack.com/en,"Madrid Spain (HQ), Miami United States, Amsterdam Netherlands"
3D Hubs,http://www.3dhubs.com/,Amsterdam Netherlands (HQ)
ChannelEngine.com,http://www.channelengine.com/,Leiden Netherlands (HQ)
MAPS.ME,http://maps.me/,Amsterdam Netherlands (HQ)
Klantenvertellen,https://www.klantenvertellen.nl/,Tilburg Netherlands (HQ)
MantiSpectra,https://www.mantispectra.com/,Eindhoven Netherlands (HQ)
Quin,https://www.quin.md/,Amsterdam Netherlands (HQ)
DOCKR,https://www.dockrmobility.nl/nl/,"Amersfoort Netherlands (HQ), Amersfoort Netherlands"
reNature,https://renature.co/,Amsterdam Netherlands (HQ)
PHYSEE,http://www.physee.eu/,Delft Netherlands (HQ)
NewAmsterdam Pharma,https://www.newamsterdampharma.com/,Naarden Netherlands (HQ)
Red Kubes,http://redkubes.com/,Utrecht Netherlands (HQ)
AxonIQ,https://axoniq.io/,Amsterdam Netherlands (HQ)
Media Distillery,https://www.mediadistillery.com/,Amsterdam Netherlands (HQ)
Packaly,https://packaly.com/,"Amsterdam Netherlands (HQ), Utrecht Netherlands (founding location)"
Leadingcourses Travel B.V.,http://leadingcourses.com/,Utrecht Netherlands (HQ)
Flinders.nl,http://www.flinders.nl/,Zaandam Netherlands (HQ)
Quodari,https://quodari.com/en,Rotterdam Netherlands (HQ)
Dojoko,https://www.dojoko.com/,The Hague Netherlands (HQ)
AgXeed,https://agxeed.com/,Oirlo Netherlands (HQ)
STIL,https://www.stilwearable.com/,Delft Netherlands (HQ)
Omnigen,http://www.omnigen.nl/,Rotterdam Netherlands (HQ)
Confocal.nl,http://confocal.nl/,Amsterdam Netherlands (HQ)
Almacena Platform,https://almacenaplatform.com/,Amsterdam Netherlands (HQ)
Starlink BV,https://www.starlink.com/,Amsterdam Netherlands (HQ)
Futurewhiz,https://futurewhiz.com/,Amsterdam Netherlands (HQ)
